Address,City,EOAddress,Electorate,Email,Fax,First name,Gender,House,LastName,LastUpdated,MinAddress,MinPhone,Minister,POAddress,POstcode,Party,PartyAbb,Phone,Photo,Political Party,Name,Position,PreferredName,Salutation,State,Surname,Title,Web,images,﻿Full Name
,,"188 Heaths Road, Hoppers Crossing, VIC, 3029",Tarneit,dylan.wight@parliament.vic.gov.au,,,,Legislative Assembly,Wight,13/02/2024,,,,,,Australian Labor Party,ALP,(03) 9651 8206,,,,,Dylan,,,,Mr,"https://www.facebook.com/dylanwightlabor, https://www.instagram.com/dylanwightmp/",,
,,"177 High Street, Maryborough, VIC, 3465",Ripon,martha.haylett@parliament.vic.gov.au,,,,Legislative Assembly,Haylett,09/03/2023,,,,,,Australian Labor Party,ALP,(03) 5461 1255,,,,,Martha,,,,Ms,https://www.marthahaylett.com.au/,,
,,"Shop 1, , 321 Main Street, Mornington, VIC, 3931",Mornington,chris.crewther@parliament.vic.gov.au,,,,Legislative Assembly,Crewther,09/03/2023,,,,,,Liberal Party,LP,(03) 5975 4799,,,,"Liberal Party Whip in The Legislative Assembly, Shadow Parliamentary Secretary for Justice and Corrections",Chris,,,,Mr,"https://www.chriscrewther.com.au, https://twitter.com/ChrisCrewther, https://www.facebook.com/CrewtherChris/, https://www.instagram.com/chriscrewthermp/",,
,,"2 Brentford Square, Forest Hill, VIC, 3131",Glen Waverley,john.mullahy@parliament.vic.gov.au,,,,Legislative Assembly,Mullahy,06/03/2024,,,,,,Australian Labor Party,ALP,(03) 9955 2501,,,,,John,,,,Mr,"https://www.johnmullahy.com.au, https://twitter.com/JohnMullahyMP, https://www.facebook.com/JohnMullahyMP, https://www.instagram.com/johnmullahymp/",,
,,"Suite 3,, 14 Yan Yean Road, Diamond Creek, VIC, 3089",Yan Yean,lauren.kathage@parliament.vic.gov.au,,,,Legislative Assembly,Kathage,06/07/2023,,,,,,Australian Labor Party,ALP,(03) 9432 9782,,,,,Lauren,,,,Ms,"https://www.facebook.com/laurenkathagemp, https://www.laurenkathage.com.au",,
,,"Shop 1, , 2333 Point Nepean Road, RYE, VIC, 3941",Nepean,sam.groth@parliament.vic.gov.au,,,,Legislative Assembly,Groth,27/07/2023,,,"Shadow Minister for Tourism, Sport and Events, Shadow Minister for Youth",,,Liberal Party,LP,(03) 5986 6661,,,,,Sam,,,,Mr,"https://www.facebook.com/SamGrothNepean, https://www.instagram.com/SamGroth/",,
,,"1635 Burwood Highway, Belgrave, VIC, 3160",Monbulk,daniela.demartino@parliament.vic.gov.au,,,,Legislative Assembly,De Martino,09/03/2023,,,,,,Australian Labor Party,ALP,(03) 9754 5401,,,,,Daniela,,,,Ms,"https://www.danielademartino.com.au, https://www.facebook.com/DanielaDeMartinoMP, https://www.instagram.com/DanielaDeMartinoMP",,
,,"Suite C308,, 1510 Pascoe Vale Road, COOLAROO, VIC, 3048",Greenvale,iwan.walters@parliament.vic.gov.au,,,,Legislative Assembly,Walters,21/03/2024,,,,,,Australian Labor Party,ALP,(03) 9651 8208,,,,Parliamentary Secretary for Disability,Iwan,,,,Mr,,,
,,"Shops 14 & 15,, 180 Gaffney Street, Coburg North, VIC, 3058",Pascoe Vale,anthony.cianflone@parliament.vic.gov.au,,,,Legislative Assembly,Cianflone,23/10/2023,,,,,,Australian Labor Party,ALP,(03) 9354 9935,,,,,Anthony,,,,Mr,"https://twitter.com/AnthonyC4PV, https://www.facebook.com/AnthonyCianfloneLaborforPascoeVale/, https://www.anthonycianflonemp.com.au, https://www.instagram.com/anthonycianflonemp/",,
,,"318 Wyndham Street, Shepparton, VIC, 3630",Shepparton,kim.okeeffe@parliament.vic.gov.au,,,,Legislative Assembly,O'Keeffe,24/10/2023,,,,,,The Nationals,NAT,(03) 5831 6944,,,,,Kim,,,,Ms,"https://www.instagram.com/kimokeeffe, https://www.facebook.com/Kim4Shepp",,
,,"Shop G066, Gateway Plaza,, 641-659 Bellarine Highway, Leopold, VIC, 3224",Bellarine,alison.marchant@parliament.vic.gov.au,,,,Legislative Assembly,Marchant,18/04/2023,,,,,,Australian Labor Party,ALP,(03) 5250 1987,,,,,Alison,,,,Mrs,"https://www.instagram.com/alisonmarchantmp/, https://www.facebook.com/alisonmarchantmp/",,
,,"25 Bridge Street, Benalla, VIC, 3672",Euroa,annabelle.cleeland@parliament.vic.gov.au,,,,Legislative Assembly,Cleeland,09/03/2023,,,,,,The Nationals,NAT,(03) 5762 1600,,,,"Shadow Parliamentary Secretary for Health, The Nationals Party Secretary",Annabelle,,,,Mrs,"https://www.annabellecleeland.com.au, https://www.facebook.com/annabelle4euroa, https://www.instagram.com/annabelle4euroa",,
,,"Shop 1,, 13 Eramosa Road West, Somerville, VIC, 3912",Hastings,paul.mercurio@parliament.vic.gov.au,,,,Legislative Assembly,Mercurio,13/03/2024,,,,,,Australian Labor Party,ALP,(03) 5977 5600,,,,,Paul,,,,Mr,"https://www.facebook.com/PaulMercurioLabor/, https://www.instagram.com/paulmercuriomp/, https://www.paulmercurio.com.au/",,
,,"Shops 101 & 102, Endeavour Hills Shopping Centre,, Matthew Flinders Avenue, Endeavour Hills, VIC, 3802",Narre Warren North,belinda.wilson@parliament.vic.gov.au,,,,Legislative Assembly,Wilson,18/04/2023,,,,,,Australian Labor Party,ALP,(03) 9706 0566,,,,Deputy Government Whip in the Assembly,Belinda,,,,Ms,"https://www.belindawilson.com.au, https://www.facebook.com/belindawilsonvic, https://www.instagram.com/belindawilsonvic",,
,,"Suite 3,, 445 Princes Highway, Officer, VIC, 3809",Pakenham,emma.vulin@parliament.vic.gov.au,,,,Legislative Assembly,Vulin,02/10/2023,,,,,,Australian Labor Party,ALP,(03) 9651 8254,,,,,Emma,,,,Ms,"https://www.facebook.com/EmmaVulinMP/, https://www.emmavulin.com.au/, https://www.instagram.com/emmavulinmp/",,
,,"Shop 42, , 1099-1169 Pascoe Vale Road, Broadmeadows, VIC, 3047",Broadmeadows,kathleen.matthews-ward@parliament.vic.gov.au,,,,Legislative Assembly,Matthews-Ward,15/05/2023,,,,,,Australian Labor Party,ALP,(03) 9300 3851,,,,,Kathleen,,,,Ms,"https://www.facebook.com/kathleenmatthewsward, https://www.instagram.com/kathleenmatthewsward",,
,,"Tenancy 2, Ground Floor,, 188-196 Gertrude Street, Fitzroy, VIC, 3065",Richmond,gabrielle.devietri@parliament.vic.gov.au,,,,Legislative Assembly,de Vietri,18/01/2024,,,,,,The Australian Greens - Victoria,GRN,(03) 9415 8901,,,,"Party Room Chair, Spokesperson for Renters Rights and Consumer Affairs, Spokesperson for LGBTIQA+ Equality, Spokesperson for Arts, Spokesperson for Waste and Circular Economy, Spokesperson for Disability Rights and Services",Gabrielle,,,,Ms,"https://twitter.com/GabrielledeVie, https://www.facebook.com/gabrielle.de.vietri, https://www.instagram.com/gabrielledevietri/, https://www.tiktok.com/@gabrielledevietri",,
,,"12-14 George Street, Morwell, VIC, 3840",Morwell,martin.cameron@parliament.vic.gov.au,,,,Legislative Assembly,Cameron,09/03/2023,,,,,,The Nationals,NAT,(03) 5133 9088,,,,"Shadow Parliamentary Secretary for Energy, Renewables and the SEC, Shadow Parliamentary Secretary for Small Business",Martin,,,,Mr,,,
,,"Shoop 1,, 80 Smith Street, Warragul, VIC, 3820",Narracan,wayne.farnham@parliament.vic.gov.au,,,,Legislative Assembly,Farnham,25/10/2023,,,,,,Liberal Party,LP,(03) 5623 1960,,,,Shadow Parliamentary Secretary to the Leader of the Opposition,Wayne,,,,Mr,https://www.waynefarnham.com.au,,
,,"Suite 2,, 1020 Doncaster Road, Doncaster East, VIC, 3109",Warrandyte,nicole.werner@parliament.vic.gov.au,,,,Legislative Assembly,Werner,01/12/2023,,,,,,Liberal Party,LP,(03) 9841 5166,,,,,Nicole,,,,Mrs,"https://www.facebook.com/NicoleWernerWarrandyte, https://www.instagram.com/nicolewerner_warrandyte/",,
,,"517A Princes Highway, Noble Park, VIC, 3174",Mulgrave,eden.foster@parliament.vic.gov.au,,,,Legislative Assembly,Foster,26/03/2024,,,,,,Australian Labor Party,ALP,(03) 9548 5644,,,,,Eden,,,,Ms,"https://www.facebook.com/edenfostermulgrave, https://www.instagram.com/edenfostermulgrave",,
,,"54B Cunninghame Street, Sale, VIC, 3850",Gippsland South,danny.obrien@parliament.vic.gov.au,,,,Legislative Assembly,O'Brien,21/06/2023,,,"Shadow Minister for Casino, Gaming and Liquor Regulation, Shadow Minister for Roads and Road Safety","PO Box 9250, Sale, VIC, 3850",,The Nationals,NAT,(03) 5144 1987,,,,,Danny,,,,Mr,,,
,,"75 Victoria Street, Seddon, VIC, 3011",Western Metropolitan,lizzie.blandthorn@parliament.vic.gov.au,,,,Legislative Council,Blandthorn,09/10/2023,"Level 22, 50 Lonsdale Street, Melbourne, VIC, 3000",1300 607 665,"Minister for Children, Minister for Disability",,,Australian Labor Party,ALP,03 9689 6373,,,,Deputy Leader of the Government in the Legislative Council,Lizzie,,,,The Hon.,"http://facebook.com/LizzieBlandthorn, http://instagram.com/lizzieblandthorn",,
,,"Ground Floor, 1 Yarra Street, Geelong, VIC, 3220",Western Victoria,gayle.tierney@parliament.vic.gov.au,,,,Legislative Council,Tierney,14/12/2023,"Level 1, 2 Treasury Place, East Melbourne, VIC, 3002",03 8392 2220,"Minister for Skills and TAFE, Minister for Regional Development",,,Australian Labor Party,ALP,(03) 5224 2088,,,,,Gayle,,,,The Hon.,,,
,,"Suite G01, 60 Leicester Street, Carlton, VIC, 3053",Northern Metropolitan,samantha.ratnam@parliament.vic.gov.au,,,,Legislative Council,Ratnam,24/04/2024,,,,,,The Australian Greens - Victoria,GRN,(03) 9348 2622,,,,"Spokesperson for First Nations Justice, Spokesperson for Multiculturalism and Anti-Racism, Spokesperson for Public and Affordable Housing, Spokesperson for Women, Gender Equality and Family Violence, Spokesperson for Sustainable Cities and Planning, Spokesperson for Child Protection, Spokesperson for Veterans",Samantha,,,,Dr,"https://greens.org.au/vic/samantharatnam, https://www.facebook.com/SamanthaRatnamGreens, https://twitter.com/SamanthaRatnam",,
,,"Unit 1, 9 Napier Street, Warragul, VIC, 3820",Eastern Victoria,jeff.bourman@parliament.vic.gov.au,,,,Legislative Council,Bourman,09/03/2023,,,,,,"Shooters, Fishers and Farmers Party Victoria",SFFP,(03) 5623 2999,,,,,Jeff,,,,Mr,,,
,,"shop 1/87 Sydney Street, Kilmore, VIC, 3764",Northern Victoria,jaclyn.symes@parliament.vic.gov.au,,,,Legislative Council,Symes,23/01/2024,"Level 26, 121 Exhibition Street, Melbourne, VIC, 3000",03 8684 1111,"Attorney-General, Minister for Emergency Services",,,Australian Labor Party,ALP,(03) 5783 2000,,,,Leader of the Government in the Legislative Council,Jaclyn,,,,The Hon.,"https://www.jaclynsymes.com.au/, https://twitter.com/JaclynSymes",,
,,"Tenancy 2, 80 Carmody Drive, Cairnlea, VIC, 3023",Western Metropolitan,Ingrid.Stitt@parliament.vic.gov.au,,,,Legislative Council,Stitt,27/11/2023,"50 Lonsdale Street, Melbourne, VIC, 3000",03 9096 8587,"Minister for Mental Health, Minister for Ageing, Minister for Multicultural Affairs",,,Australian Labor Party,ALP,(03) 9363 1644,,,,,Ingrid,,,,Ms,"https://www.facebook.com/IngridStittMP/, https://twitter.com/IngridStitt",,
,,"Town Square, Eastland Shopping Centre, 171-175 Maroondah Highway, Ringwood, VIC, 3134",North-Eastern Metropolitan,nick.mcgowan.ringwood@parliament.vic.gov.au,,,,Legislative Council,McGowan,05/04/2024,,,,,,Liberal Party,LP,03 9877 7188,,,,Shadow Parliamentary Secretary for Scrutiny of Government,Nick,,,,Mr,,,
,,"Suite 1, 600 Doncaster Road, Doncaster, VIC, 3108",North-Eastern Metropolitan,aiv.puglielli@parliament.vic.gov.au,,,,Legislative Council,Puglielli,18/01/2024,,,,,,The Australian Greens - Victoria,GRN,03 9850 8600,,,,"The Victorian Greens Whip - Legislative Council, Spokesperson for Young People, Spokesperson for Education, Spokesperson for Legal Cannabis and Drug Harm Reduction",Aiv,,,,Mr,"https://www.twitter.com/aivgoesgreen, https://www.facebook.com/AivGoesGreen, https://www.instagram.com/aivgoesgreen, https://www.tiktok.com/@aivgoesgreen",,
,,"5 Vaughan Street, Shepparton, VIC, 3630",Northern Victoria,rikkie-lee.tyrrell@parliament.vic.gov.au,,,,Legislative Council,Tyrrell,22/01/2024,,,,,,Pauline Hanson's One Nation,One Nation,03 4700 1787,,,,,Rikkie-Lee,,,,Mrs,https://www.facebook.com/RikkieLeeTyrrellMLC,,
,,"31 Princes Highway, Dandenong, VIC, 3175",South-Eastern Metropolitan,ann-marie.hermans@parliament.vic.gov.au,,,,Legislative Council,Hermans,30/01/2024,,,,,,Liberal Party,LP,(03) 9794 7667,,,,Shadow Cabinet Secretary,Ann-Marie,,,,Mrs,,,
,,"281 Centre Road, Bentleigh, VIC, 3204",Southern Metropolitan,ryan.batchelor@parliament.vic.gov.au,,,,Legislative Council,Batchelor,08/03/2024,,,,,,Australian Labor Party,ALP,03 9557 1500,,,,,Ryan,,,,Mr,"https://www.ryanbatchelor.com.au, https://www.twitter.com/ryanbatchelor, https://www.facebook.com/ryanbatchelormp, https://www.instagram.com/ryanbatchelormp",,
,,"Tenancy 3, 1-13 Watton Street, Werribee, VIC, 3030",Western Metropolitan,trung.luu@parliament.vic.gov.au,,,,Legislative Council,Luu,15/05/2023,,,,,,Liberal Party,LP,03 8742 3226,,,,"Shadow Parliamentary Secretary for Multicultural Affairs, Secretary of the Parliamentary Liberal Party",Trung,,,,Mr,,,
,,"Ground Floor, 17 Lydiard Street , Ballarat, VIC, 3350",Western Victoria,joe.mccracken@parliament.vic.gov.au,,,,Legislative Council,McCracken,03/10/2023,,,,,,Liberal Party,LP,03 5332 2405,,,,"Shadow Parliamentary Secretary for Regional Economic Development, Opposition Whip in Legislative Council",Joe,,,,Mr,"https://www.joemccracken.com.au/, https://www.facebook.com/JoeMcCrackenMP",,
,,"Suite 1/10-12 Blackburn Road, Blackburn, VIC, 3130",North-Eastern Metropolitan,richard.welch@parliament.vic.gov.au,,,,Legislative Council,Welch,15/03/2024,,,,,,Liberal Party,LP,03 9878 4113,,,,,Richard,,,,Mr,,,
,,"1/670 Chapel Street, South Yarra, VIC, 3141",Southern Metropolitan,david.davis@parliament.vic.gov.au,,,,Legislative Council,Davis,02/10/2023,,,"Shadow Minister for Energy, Affordability and Security, Shadow Minister for the SEC, Shadow Minister for the Arts and Creative Industries",,,Liberal Party,LP,(03) 9827 6655,,,,,David,,,,The Hon.,,,
,,"Ground Floor, 216 Commercial Road, Morwell, VIC, 3840",Eastern Victoria,harriet.shing@parliament.vic.gov.au,,,,Legislative Council,Shing,17/11/2023,"Level 16, , 8 Nicholson Street, East Melbourne, VIC, 3002",(03) 9637 9654,"Minister for Housing, Minister for Water, Minister for Equality",,,Australian Labor Party,ALP,(03) 5134 8000,,,,,Harriet,,,,The Hon.,"https://www.harrietshing.com.au, https://facebook.com/harrietshingmp, https://twitter.com/shingvworld",,
,,"Unit 1/747 Sydney Road, Brunswick, VIC, 3056",Northern Metropolitan,adem.somyurek@parliament.vic.gov.au,,,,Legislative Council,Somyurek,27/03/2024,,,,,,Independent,Ind,03 9386 4400,,,,,Adem,,,,The Hon.,https://www.twitter.com/AdemSomyurek,,
,,"222 Wyndham Street, Shepparton, VIC, 3630",Northern Victoria,wendy.lovell@parliament.vic.gov.au,,,,Legislative Council,Lovell,01/05/2024,,,,,,Liberal Party,LP,(03) 5821 6668,,,,Deputy President of the Legislative Council,Wendy,,,,The Hon.,"https://wendylovell.com.au, https://facebook.com/wendylovellMP, https://twitter.com/wendylovellmp",,
,,"Unit 4/91 Dorset Road, Ferntree Gully, VIC, 3156",North-Eastern Metropolitan,shaun.leane@parliament.vic.gov.au,,,,Legislative Council,Leane,10/03/2023,,,,"PO Box 4307, Knox City Centre, VIC, 3152",,Australian Labor Party,ALP,(03) 9887 0255,,,,President of the Legislative Council,Shaun,,,,The Hon.,"https://www.shaunleanemp.com.au, https://twitter.com/ShaunLeaneMP",,
,,"Suite 1, 780 Riversdale Road, Camberwell, VIC, 3124",Southern Metropolitan,georgie.crozier@parliament.vic.gov.au,,,,Legislative Council,Crozier,09/03/2023,,,"Shadow Minister for Health, Shadow Minister for Ambulance Services",,,Liberal Party,LP,(03) 7005 8699,,,,"Leader of the Opposition in the Legislative Council, Leader of the Liberal Party in the Legislative Council",Georgie,,,,Ms,,,
,,"Shop 2, 181 Franklin Street, Traralgon, VIC, 3844",Eastern Victoria,melina.bath@parliament.vic.gov.au,,,,Legislative Council,Bath,10/03/2023,,,,"PO Box 1506, Traralgon, VIC, 3844",,The Nationals,NAT,(03) 5174 7066,,,,"Shadow Parliamentary Secretary for Education, Volunteers and Public Land, Leader of The Nationals in the Legislative Council, The Nationals Whip in the Legislative Council",Melina,,,,Ms,,,
,,"16 Princes Highway, Dandenong, VIC, 3175",South-Eastern Metropolitan,lee.tarlamis@parliament.vic.gov.au,,,,Legislative Council,Tarlamis,10/03/2023,,,,,,Australian Labor Party,ALP,(03) 9793 2000,,,,Government Whip in the Legislative Council,Lee,,,,Mr,,,
,,"Office 2, 9-11 Williamsons Road, Doncaster, VIC, 3108",North-Eastern Metropolitan,Sonja.Terpstra@parliament.vic.gov.au,,,,Legislative Council,Terpstra,10/03/2023,,,,,,Australian Labor Party,ALP,(03) 9937 2566,,,,,Sonja,,,,Ms,"https://www.facebook.com/SonjaTerpstraMP/, https://twitter.com/TerpsMLC, https://sonjaterpstramp.com.au/",,
,,"1174 Nepean Hwy , Cheltenham, VIC, 3192",South-Eastern Metropolitan,David.Limbrick@parliament.vic.gov.au,,,,Legislative Council,Limbrick,27/03/2024,,,,,,Libertarian Party,Libertarian,(03) 9584 4013,,,,,David,,,,Mr,"https://www.facebook.com/davidlimbrickldp, http://www.ldp.org.au, https://twitter.com/_davidlimbrick",,
,,"Suite 5, 400-404 Pakington Street, Geelong, VIC, 3220",Western Victoria,Beverley.McArthur@parliament.vic.gov.au,,,,Legislative Council,McArthur,14/11/2023,,,,,,Liberal Party,LP,(03) 4245 4430,,,,Shadow Parliamentary Secretary for Roads and Road Safety,Bev,,,,Mrs,"https://twitter.com/BevMcArthurMP, https://www.facebook.com/BevMcArthurMP/, https://www.bevmcarthur.com",,
,,"GO2/30 English Street, Essendon Fields, VIC, 3041",Northern Metropolitan,enver.erdogan@parliament.vic.gov.au,,,,Legislative Council,Erdogan,08/02/2024,"Level 16, 121 Exhibition Street, Melbourne, VIC, 3000",1300 315 189,"Minister for Corrections, Minister for Youth Justice, Minister for Victim Support",,,Australian Labor Party,ALP,(03) 9651 8260,,,,,Enver,,,,The Hon.,,,
,,"G04/23 Black Street, Brunswick, VIC, 3056",Northern Metropolitan,sheena.watt@parliament.vic.gov.au,,,,Legislative Council,Watt,15/04/2024,,,,,,Australian Labor Party,ALP,03 7008 6588,,,,Parliamentary Secretary for Climate Action,Sheena,,,,Ms,,,
,,"Unit 1, 23 James Street, Pakenham, VIC, 3810",Eastern Victoria,tom.mcintosh@parliament.vic.gov.au,,,,Legislative Council,McIntosh,08/03/2024,,,,,,Australian Labor Party,ALP,03 5940 5010,,,,,Tom,,,,Mr,,,
,,"51 James Street, Pakenham, VIC, 3810",Eastern Victoria,renee.heath@parliament.vic.gov.au,,,,Legislative Council,Heath,15/05/2023,,,,,,Liberal Party,LP,03 5941 1112,,,,,Renee,,,,Dr,https://vic.liberal.org.au/team/renee-heath,,
,,"Shop 24, 55-63 Paringa Boulevard, Meadow Heights, VIC, 3048",Northern Metropolitan,evan.mulholland@parliament.vic.gov.au,,,,Legislative Council,Mulholland,11/04/2024,,,"Shadow Minister for Home Ownership and Housing Affordability, Shadow Minister for Outer Suburban Growth",,,Liberal Party,LP,03 9651 8242,,,,"Deputy Leader of the Opposition in the Legislative Council, Deputy Leader of the Liberal Party in the Legislative Council",Evan,,,,Mr,"https://www.evanmulholland.com.au, https://www.twitter.com/evmulholland, https://www.facebook.com/EvanDMulholland/, https://www.instagram.com/evmulholland, https://www.tiktok.com/@evanmulhollandnorth",,
,,"30 Queen Street, Bendigo, VIC, 3550",Northern Victoria,gaelle.broad@parliament.vic.gov.au,,,,Legislative Council,Broad,07/12/2023,,,,,,The Nationals,NAT,1300 423 553,,,,,Gaelle,,,,Mrs,"https://www.gaellebroad.com.au, https://www.facebook.com/GaelleBroadMP, https://www.instagram.com/gaellebroad",,
,,"Tenancy 3, 80 High Street, Woodend, VIC, 3442",Northern Victoria,georgie.purcell@parliament.vic.gov.au,,,,Legislative Council,Purcell,17/04/2024,,,,,,Animal Justice Party,AJP,03 5427 2444,,,,,Georgie,,,,Ms,"https://www.twitter.com/georgievpurcell, https://www.facebook.com/georgie.purcell.ajp, https://www.instagram.com/georgie.purcell.ajp, http://www.georgiepurcell.com.au",,
,,"141 Westall Road, Clayton South, VIC, 3169",South-Eastern Metropolitan,michael.galea@parliament.vic.gov.au,,,,Legislative Council,Galea,09/03/2023,,,,,,Australian Labor Party,ALP,03 7501 8688,,,,,Michael,,,,Mr,"https://www.twitter.com/michaelgalea, https://www.facebook.com/MichaelGaleaALP, https://www.instagram.com/michaelgaleamp, http://linktr.ee/michaelgalea",,
,,"384A Nepean Highway, Chelsea, VIC, 3196",South-Eastern Metropolitan,rachel.payne@parliament.vic.gov.au,,,,Legislative Council,Payne,19/04/2024,,,,,,Legalise Cannabis Victoria,LC,03 9651 8972,,,,,Rachel,,,,Ms,,,
,,"105a High Street, Prahran, VIC, 3181",Southern Metropolitan,john.berger@parliament.vic.gov.au,,,,Legislative Council,Berger,18/04/2023,,,,,,Australian Labor Party,ALP,03 7008 8466,,,,,John,,,,Mr,,,
,,"206-208 Bay Street, Brighton, VIC, 3186",Southern Metropolitan,katherine.copsey@parliament.vic.gov.au,,,,Legislative Council,Copsey,18/01/2024,,,,,,The Australian Greens - Victoria,GRN,03 9530 8399,,,,"Deputy Party Room Chair, Spokesperson for Justice, Spokesperson for Transport, Spokesperson for Gambling Harm Reduction, Spokesperson for Animal Protection, Spokesperson for Major Events",Katherine,,,,Ms,"https://www.facebook.com/KatherineCopseyGreens, https://www.instagram.com/katherinecopseygreens",,
,,"Suite 1 & 2, Level 2, 13-15 Lake Street, Caroline Springs, VIC, 3023",Western Metropolitan,moira.deeming@parliament.vic.gov.au,,,,Legislative Council,Deeming,04/10/2023,,,,,,Liberal Party,LP,(03) 8363 0288,,,,,Moira,,,,Mrs,https://www.moiradeeming.com.au,,
,,"Suite 101/19 Lacy Street, Braybrook, VIC, 3019",Western Metropolitan,david.ettershank@parliament.vic.gov.au,,,,Legislative Council,Ettershank,09/03/2023,,,,,,Legalise Cannabis Victoria,LC,03 9317 5900,,,,,David,,,,Mr,https://www.facebook.com/david.ettershank.5,,
,,"Parliament House, Spring Street, East Melbourne, VIC, 3002",Western Victoria,jacinta.ermacora@parliament.vic.gov.au,,,,Legislative Council,Ermacora,10/05/2023,,,,,,Australian Labor Party,ALP,03 9651 8238,,,,,Jacinta,,,,Ms,,,
,,"60 Brougham Street, Geelong, VIC, 3220",Western Victoria,sarah.mansfield@parliament.vic.gov.au,,,,Legislative Council,Mansfield,24/04/2024,,,,,,The Australian Greens - Victoria,GRN,03 5222 1941,,,,"Leader of the Greens in the Legislative Council, Co-Deputy Leader of the Victorian Greens, Spokesperson for Health Services and Reproductive Health, Spokesperson for Water, Spokesperson for Agriculture, Spokesperson for Rural and Regional Communities, Spokesperson for Local Government",Sarah,,,,Dr,"https://www.facebook.com/SarahMansfieldGreens, https://www.instagram.com/sarah_mansfield_greens",,
PO Box 5304,Gladstone,,Gladstone,,,Penny,Female,,,,,,,,4680,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/rLaGnU5XCwZ57Sc7IzrasA/zibgcy7i-MO6NtNOMy7swtI3BqW-iYzFQhHTXRYyG983bVeYREPQ1AQem8G2j_9KOqGbJOax5kRUHty9-eWMzQfw8CZP9pipjhXrFKcpD87hJW_VlPYMCbPThwfb68eLBLONwG0Zlvzdj-InErvmJg/myXsVIKs-wx-G9GQd3LueKUCqlc8W5s3XGSIwXJIFkw),AG,Senator,,,Senator,QLD,Allman-Payne,Senator,,,Penny Allman-Payne
"Unit 11, Level 2, 440 William Street",Perth,,Perth,,,Dorinda,Female,,,,,,,,6000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/SLxsaAvggwsdD1GkIpTNHA/HYBc0f3a4eLSWvpkAsmyL60wQIKCslLPf06zbQD4KxcXCLmeyw0SbEIkYk521ReE69_ljf5YGmZ2JZzRunb9K7yym49QOcUtfx0KcBq7y8VjEsCRcBDYkq4siyXhhqvBvh79V-NOS63gxcHVpBfZ8g/mYB6KpQYxzTUjBQoSiWw4erTarteJuOM64KdnqStVp0),AG,Senator,,,Senator,WA,Cox,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/SLxsaAvggwsdD1GkIpTNHA/HYBc0f3a4eLSWvpkAsmyL60wQIKCslLPf06zbQD4KxcXCLmeyw0SbEIkYk521ReE69ljf5YGmZ2JZzRunb9K7yym49QOcUtfx0KcBq7y8VjEsCRcBDYkq4siyXhhqvBvh79VNOS63gxcHVpBfZ8g/mYB6KpQYxzTUjBQoSiWw4erTarteJuOM64KdnqStVp0', 'type': None}]",Dorinda Cox
72 Campbell Street,Surry Hills,,Surry Hills,,,Mehreen,Female,,,,,,,,2010,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/15_B1oqbB7-9y4K827x1UQ/DpKncqAgx_m-G0iny6VawvF1ZwRJxLfWR44hMKTsunDQhgS4TRhLhaS5TqApY8mIjTiIRaCU7UyXkwTN0-htt5sAnPuWi_6ncAYj03iO-K6A4iRlsjEpccj1bSrqSmUsqKtwKwt0NDiMCEfi8Xq-hA/fu_1iztZWpBRz6yoK-n4j9whadcWJHulrKIPuYkgVKw),AG,Senator,Deputy Leader of the Australian Greens,,Senator,NSW,Faruqi,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/15B1oqbB79y4K827x1UQ/DpKncqAgxmG0iny6VawvF1ZwRJxLfWR44hMKTsunDQhgS4TRhLhaS5TqApY8mIjTiIRaCU7UyXkwTN0htt5sAnPuWi6ncAYj03iOK6A4iRlsjEpccj1bSrqSmUsqKtwKwt0NDiMCEfi8XqhA/fu1iztZWpBRz6yoKn4j9whadcWJHulrKIPuYkgVKw', 'type': None}]",Mehreen Faruqi
"Level 7, 147 Pirie Street",Adelaide,,Adelaide,,,Sarah,Female,,,,,,,,5000,,,,image.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732068000000/2JjLqFaDmSNKIwa10nduww/IIIS0gWJ5BAQuf1Idi-Wylrbt7uQjFB2aCVEWeComEqH0819c4NrYfDWod5ABpmClA545G3QGG1_8bAfsT9ouxC9s7OWCXVq8efolrJs_gaZn_DC26uTXbT3ERYXHHGQ8mnlLMoJpbXzVqM1nZRrBw/Ljd1Xb_tmlBfjawLM6Aj_WfT9lWs9C2Z9ZvtqNQHZlE),AG,Senator,Manager of Australian Greens Business in the Senate,,Senator,SA,Hanson-Young,Senator,,"[{'base64': 'imagejpghttps//v5airtableusercontentcom/v3/u/35/35/1732068000000/2JjLqFaDmSNKIwa10nduww/IIIS0gWJ5BAQuf1IdiWylrbt7uQjFB2aCVEWeComEqH0819c4NrYfDWod5ABpmClA545G3QGG18bAfsT9ouxC9s7OWCXVq8efolrJsgaZnDC26uTXbT3ERYXHHGQ8mnlLMoJpbXzVqM1nZRrBw/Ljd1XbtmlBfjawLM6AjWfT9lWs9C2Z9ZvtqNQHZlE', 'type': None}]",Sarah Hanson-Young
